Timestamp,Device ID,Serial Number,Model,Sub Model,Friendly Name,Latitude,Longitude,Is Indoor,Is Public,PM2.5 AQI,PM10 AQI,PM1.0,PM2.5,Applied PM2.5 Custom Calibration Setting - Multiplication Factor,Applied PM2.5 Custom Calibration Setting - Offset,PM4.0,PM10,Applied PM10 Custom Calibration Setting - Multiplication Factor,Applied PM10 Custom Calibration Setting - Offset,PM0.5 NC,PM1.0 NC,PM2.5 NC,PM4.0 NC,PM10 NC,Typical Particle Size,PM Sensor Status,CO2,Applied CO2 Custom Calibration Setting - Multiplication Factor,Applied CO2 Custom Calibration Setting - Offset,CO2 Sensor Status,CH2O,Applied CH2O Custom Calibration Setting - Multiplication Factor,Applied CH2O Custom Calibration Setting - Offset,CH2O Sensor Status,Barometric Pressure,Applied Barometric Pressure Custom Calibration Setting - Offset,Barometric Sensor Status,CO,Applied CO Custom Calibration Setting - Multiplication Factor,Applied CO Custom Calibration Setting - Offset,CO Sensor Status,SO2,Applied SO2 Custom Calibration Setting - Multiplication Factor,Applied SO2 Custom Calibration Setting - Offset,SO2 Sensor Status,O3,Applied O3 Custom Calibration Setting - Multiplication Factor,Applied O3 Custom Calibration Setting - Offset,O3 Sensor Status,NO2,Applied NO2 Custom Calibration Setting - Multiplication Factor,Applied NO2 Custom Calibration Setting - Offset,NO2 Sensor Status,VOC tVOC measurement,Applied TVOC Custom Calibration Setting - Multiplication Factor,Applied TVOC Custom Calibration Setting - Offset,VOC Sensor Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Status,System Status,Timestamp_Local
2024-04-09 14:07:40,,81432415026.0,8143.0,,,,,,,17.0,4.0,3,4,,<nil>,4,4,,<nil>,10,12,12,12,12,0.58,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.9,,49,,0.0,1.0,2024-04-09 17:07:40
2024-04-09 14:07:45,,81432415026.0,8143.0,,,,,,,17.0,4.0,3,4,,<nil>,4,4,,<nil>,10,11,12,12,12,0.57,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.9,,49,,0.0,0.0,2024-04-09 17:07:45
2024-04-09 14:07:50,,81432415026.0,8143.0,,,,,,,13.0,4.0,3,3,,<nil>,4,4,,<nil>,9,11,11,11,11,0.56,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.9,,49,,0.0,0.0,2024-04-09 17:07:50
2024-04-09 14:07:55,,81432415026.0,8143.0,,,,,,,13.0,4.0,3,3,,<nil>,4,4,,<nil>,9,11,11,11,11,0.57,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.9,,49,,0.0,0.0,2024-04-09 17:07:55
2024-04-09 14:08:00,,81432415026.0,8143.0,,,,,,,13.0,4.0,3,3,,<nil>,4,4,,<nil>,9,11,11,11,11,0.57,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,49,,0.0,0.0,2024-04-09 17:08:00
2024-04-09 14:08:05,,81432415026.0,8143.0,,,,,,,13.0,3.0,3,3,,<nil>,3,3,,<nil>,9,10,11,11,11,0.55,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,49,,0.0,0.0,2024-04-09 17:08:05
2024-04-09 14:08:10,,81432415026.0,8143.0,,,,,,,13.0,3.0,2,3,,<nil>,3,3,,<nil>,8,10,10,10,10,0.55,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,49,,0.0,0.0,2024-04-09 17:08:10
2024-04-09 14:08:15,,81432415026.0,8143.0,,,,,,,13.0,3.0,2,3,,<nil>,3,3,,<nil>,8,9,9,9,9,0.55,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,49,,0.0,0.0,2024-04-09 17:08:15
2024-04-09 14:08:20,,81432415026.0,8143.0,,,,,,,13.0,3.0,2,3,,<nil>,3,3,,<nil>,8,9,9,9,9,0.55,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,49,,0.0,0.0,2024-04-09 17:08:20
2024-04-09 14:08:25,,81432415026.0,8143.0,,,,,,,13.0,3.0,2,3,,<nil>,3,3,,<nil>,8,10,10,10,10,0.54,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,49,,0.0,0.0,2024-04-09 17:08:25
