Timestamp,Latitude,Longitude,PM2.5 AQI,PM10 AQI,PM1.0,PM2.5,Applied PM2.5 Custom Calibration Setting - Multiplication Factor,Applied PM2.5 Custom Calibration Setting - Offset,PM4.0,PM10,Applied PM10 Custom Calibration Setting - Multiplication Factor,Applied PM10 Custom Calibration Setting - Offset,PM0.5 NC,PM1.0 NC,PM2.5 NC,PM4.0 NC,PM10 NC,Typical Particle Size,PM Sensor Status,CO2,Applied CO2 Custom Calibration Setting - Multiplication Factor,Applied CO2 Custom Calibration Setting - Offset,CO2 Sensor Status,CH2O,Applied CH2O Custom Calibration Setting - Multiplication Factor,Applied CH2O Custom Calibration Setting - Offset,CH2O Sensor Status,Barometric Pressure,Applied Barometric Pressure Custom Calibration Setting - Offset,Barometric Sensor Status,CO,Applied CO Custom Calibration Setting - Multiplication Factor,Applied CO Custom Calibration Setting - Offset,CO Sensor Status,SO2,Applied SO2 Custom Calibration Setting - Multiplication Factor,Applied SO2 Custom Calibration Setting - Offset,SO2 Sensor Status,O3,Applied O3 Custom Calibration Setting - Multiplication Factor,Applied O3 Custom Calibration Setting - Offset,O3 Sensor Status,NO2,Applied NO2 Custom Calibration Setting - Multiplication Factor,Applied NO2 Custom Calibration Setting - Offset,NO2 Sensor Status,VOC tVOC measurement,Applied TVOC Custom Calibration Setting - Multiplication Factor,Applied TVOC Custom Calibration Setting - Offset,VOC Sensor Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Status,Timestamp_Local
2024-02-13 21:09:06,,,46.0,10.0,10,11,,,11,11,,,91,102,103,103,103,0.44,0.0,454,,,0.0,,,,,23.6,,0.0,,,,,,,,,,,,,,,,,0.367,,,0.0,74.3,,50,,0.0,2024-02-14 00:09:06
2024-02-13 21:24:06,,,42.0,9.0,10,10,,,10,10,,,87,98,98,98,98,0.45,0.0,454,,,0.0,,,,,23.59,,0.0,,,,,,,,,,,,,,,,,0.339,,,0.0,74.1,,50,,0.0,2024-02-14 00:24:06
2024-02-13 21:39:06,,,42.0,9.0,10,10,,,10,10,,,87,98,98,98,98,0.44,0.0,456,,,0.0,,,,,23.59,,0.0,,,,,,,,,,,,,,,,,0.328,,,0.0,73.9,,50,,0.0,2024-02-14 00:39:06
2024-02-13 22:09:06,,,42.0,9.0,9,10,,,10,10,,,83,93,94,94,94,0.44,0.0,455,,,0.0,,,,,23.58,,0.0,,,,,,,,,,,,,,,,,0.289,,,0.0,73.8,,50,,0.0,2024-02-14 01:09:06
2024-02-13 22:24:06,,,38.0,8.0,9,9,,,9,9,,,80,90,90,90,90,0.44,0.0,460,,,0.0,,,,,23.57,,0.0,,,,,,,,,,,,,,,,,0.272,,,0.0,73.6,,51,,0.0,2024-02-14 01:24:06
2024-02-13 22:39:06,,,38.0,8.0,8,9,,,9,9,,,75,85,85,85,85,0.44,0.0,458,,,0.0,,,,,23.57,,0.0,,,,,,,,,,,,,,,,,0.258,,,0.0,73.4,,51,,0.0,2024-02-14 01:39:06
2024-02-13 23:09:06,,,33.0,7.0,8,8,,,8,8,,,71,80,80,80,80,0.43,0.0,457,,,0.0,,,,,23.56,,0.0,,,,,,,,,,,,,,,,,0.216,,,0.0,73.2,,51,,0.0,2024-02-14 02:09:06
2024-02-13 23:24:06,,,33.0,7.0,8,8,,,8,8,,,68,77,77,77,77,0.44,0.0,459,,,0.0,,,,,23.56,,0.0,,,,,,,,,,,,,,,,,0.194,,,0.0,73.2,,51,,0.0,2024-02-14 02:24:06
2024-02-13 23:39:06,,,33.0,7.0,7,8,,,8,8,,,66,75,75,75,75,0.44,0.0,463,,,0.0,,,,,23.56,,0.0,,,,,,,,,,,,,,,,,0.176,,,0.0,73.0,,51,,0.0,2024-02-14 02:39:06
2024-02-14 00:09:06,,,29.0,6.0,7,7,,,7,7,,,64,72,72,72,72,0.44,0.0,467,,,0.0,,,,,23.55,,0.0,,,,,,,,,,,,,,,,,0.15,,,0.0,72.9,,51,,0.0,2024-02-14 03:09:06
