Timestamp,Device ID,Serial Number,Model,Sub Model,Friendly Name,Latitude,Longitude,Is Indoor,Is Public,PM2.5 AQI,PM10 AQI,PM1.0,PM2.5,Applied PM2.5 Custom Calibration Setting - Multiplication Factor,Applied PM2.5 Custom Calibration Setting - Offset,PM4.0,PM10,Applied PM10 Custom Calibration Setting - Multiplication Factor,Applied PM10 Custom Calibration Setting - Offset,PM0.5 NC,PM1.0 NC,PM2.5 NC,PM4.0 NC,PM10 NC,Typical Particle Size,PM Sensor Status,CO2,Applied CO2 Custom Calibration Setting - Multiplication Factor,Applied CO2 Custom Calibration Setting - Offset,CO2 Sensor Status,CH2O,Applied CH2O Custom Calibration Setting - Multiplication Factor,Applied CH2O Custom Calibration Setting - Offset,CH2O Sensor Status,Barometric Pressure,Applied Barometric Pressure Custom Calibration Setting - Offset,Barometric Sensor Status,CO,Applied CO Custom Calibration Setting - Multiplication Factor,Applied CO Custom Calibration Setting - Offset,CO Sensor Status,SO2,Applied SO2 Custom Calibration Setting - Multiplication Factor,Applied SO2 Custom Calibration Setting - Offset,SO2 Sensor Status,O3,Applied O3 Custom Calibration Setting - Multiplication Factor,Applied O3 Custom Calibration Setting - Offset,O3 Sensor Status,NO2,Applied NO2 Custom Calibration Setting - Multiplication Factor,Applied NO2 Custom Calibration Setting - Offset,NO2 Sensor Status,VOC tVOC measurement,Applied TVOC Custom Calibration Setting - Multiplication Factor,Applied TVOC Custom Calibration Setting - Offset,VOC Sensor Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Status,System Status
UTC,,,,,,,,boolean,boolean,,,ug/m3,ug/m3,,,ug/m3,ug/m3,,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,um,,ppm,,,,ppb,,,,inHg,,,ppm,,,,ppb,,,,ppb,,,,ppb,,,,mg/m3,,,,Fahrenheit,,%,,,
01/01/2024 00:06:25,ckkler30bbk2m84v0t2g,81442325013,8144,2,Indoor 11,,,true,false,42,9,10,10,,,10,10,,,74,83,83,83,83,0.48,0,410,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.422,,,0,72.1,,59,,0,0
01/01/2024 00:21:25,ckkler30bbk2m84v0t2g,81442325013,8144,2,Indoor 11,,,true,false,42,9,10,10,,,10,10,,,74,83,83,83,83,0.48,0,409,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.421,,,0,72.0,,59,,0,0
01/01/2024 00:36:25,ckkler30bbk2m84v0t2g,81442325013,8144,2,Indoor 11,,,true,false,42,9,10,10,,,10,10,,,73,82,82,82,82,0.48,0,409,,,0,,,,,23.62,,0,,,,,,,,,,,,,,,,,0.422,,,0,72.0,,60,,0,0
01/01/2024 00:51:25,ckkler30bbk2m84v0t2g,81442325013,8144,2,Indoor 11,,,true,false,42,9,10,10,,,10,10,,,74,83,83,83,83,0.49,0,413,,,0,,,,,23.62,,0,,,,,,,,,,,,,,,,,0.430,,,0,72.0,,60,,0,0
01/01/2024 01:06:25,ckkler30bbk2m84v0t2g,81442325013,8144,2,Indoor 11,,,true,false,46,10,10,11,,,11,11,,,75,84,84,84,84,0.49,0,412,,,0,,,,,23.62,,0,,,,,,,,,,,,,,,,,0.435,,,0,72.0,,60,,0,0
01/01/2024 01:21:25,ckkler30bbk2m84v0t2g,81442325013,8144,2,Indoor 11,,,true,false,46,10,11,11,,,11,11,,,80,90,90,90,90,0.48,0,423,,,0,,,,,23.62,,0,,,,,,,,,,,,,,,,,0.441,,,0,72.0,,60,,0,0
01/01/2024 01:36:25,ckkler30bbk2m84v0t2g,81442325013,8144,2,Indoor 11,,,true,false,53,12,12,13,,,13,13,,,91,102,102,102,102,0.49,0,423,,,0,,,,,23.62,,0,,,,,,,,,,,,,,,,,0.448,,,0,71.8,,60,,0,0
01/01/2024 01:51:25,ckkler30bbk2m84v0t2g,81442325013,8144,2,Indoor 11,,,true,false,59,15,15,16,,,16,16,,,115,129,129,129,129,0.50,0,415,,,0,,,,,23.63,,0,,,,,,,,,,,,,,,,,0.459,,,0,71.8,,60,,0,0
01/01/2024 02:06:25,ckkler30bbk2m84v0t2g,81442325013,8144,2,Indoor 11,,,true,false,66,18,18,19,,,19,19,,,136,153,153,153,153,0.50,0,422,,,0,,,,,23.63,,0,,,,,,,,,,,,,,,,,0.479,,,0,71.8,,60,,0,0
