Sensor,Coefficient,Intercept
sensor01,0.9975377751845783,0.08762154505877007
sensor02,0.9902230124193604,0.24906370448638881
sensor03,0.9836611695954038,0.4114388904967292
sensor04,0.9522602481489822,1.113093109686968
sensor05,0.9920858936820075,0.19520996838064164
sensor06,0.9948699123481535,0.09148647632889606
sensor07,0.9889847826266603,0.26335989094674517
sensor08,0.9879575469785675,0.311098433934621
sensor09,0.9831162401210828,0.4039208505704437
sensor10,0.9892947013523741,0.21660564175745733
sensor11,0.9781129439433885,0.5108185909564007
sensor12,0.9950039260588767,0.11871309483836612
sensor13,0.982774222062012,0.3926930464421119
sensor14,0.9871445856616812,0.29287292733856063
sensor15,0.9870233724463917,0.291401598419732
