Sensor,Coefficient,Intercept
sensor01,1.010350478294115,-2.3413217019765966
sensor02,1.00709041410855,-3.7974092295692685
sensor03,0.9193065750202546,35.74338617045805
sensor04,0.9117823961273788,39.828079092544556
sensor05,1.013809683341659,-7.277954559490695
sensor06,0.9543946829182459,27.491216789505813
sensor07,0.9153313079870465,38.397816978142714
sensor08,1.0278874822458075,-8.171484479270475
sensor09,0.8073959443370294,73.6568813368043
sensor10,0.9024844177832624,41.375185423856806
sensor11,0.9202401618173648,32.69321223205833
sensor12,0.8739018120170027,54.53331348687874
sensor13,0.9799051678602234,7.638422838235613
sensor14,0.9596800816188692,20.72085063560621
sensor15,0.9270559595058085,35.47323037920256
