Timestamp,Latitude,Longitude,PM2.5 AQI,PM10 AQI,PM1.0,PM2.5,Applied PM2.5 Custom Calibration Setting - Multiplication Factor,Applied PM2.5 Custom Calibration Setting - Offset,PM4.0,PM10,Applied PM10 Custom Calibration Setting - Multiplication Factor,Applied PM10 Custom Calibration Setting - Offset,PM0.5 NC,PM1.0 NC,PM2.5 NC,PM4.0 NC,PM10 NC,Typical Particle Size,PM Sensor Status,CO2,Applied CO2 Custom Calibration Setting - Multiplication Factor,Applied CO2 Custom Calibration Setting - Offset,CO2 Sensor Status,CH2O,Applied CH2O Custom Calibration Setting - Multiplication Factor,Applied CH2O Custom Calibration Setting - Offset,CH2O Sensor Status,Barometric Pressure,Applied Barometric Pressure Custom Calibration Setting - Offset,Barometric Sensor Status,CO,Applied CO Custom Calibration Setting - Multiplication Factor,Applied CO Custom Calibration Setting - Offset,CO Sensor Status,SO2,Applied SO2 Custom Calibration Setting - Multiplication Factor,Applied SO2 Custom Calibration Setting - Offset,SO2 Sensor Status,O3,Applied O3 Custom Calibration Setting - Multiplication Factor,Applied O3 Custom Calibration Setting - Offset,O3 Sensor Status,NO2,Applied NO2 Custom Calibration Setting - Multiplication Factor,Applied NO2 Custom Calibration Setting - Offset,NO2 Sensor Status,VOC tVOC measurement,Applied TVOC Custom Calibration Setting - Multiplication Factor,Applied TVOC Custom Calibration Setting - Offset,VOC Sensor Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Status,Timestamp_Local
2024-04-04 06:21:30,,,33.0,7.0,8,8,,,8,8,,,52,59,59,59,59,0.48,0.0,1633,,,0.0,,,,,23.52,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,70.9,,77,,0.0,2024-04-04 09:21:30
2024-04-04 06:36:30,,,25.0,6.0,6,6,,,6,6,,,39,45,45,45,45,0.50,0.0,1427,,,0.0,,,,,23.53,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,70.7,,76,,0.0,2024-04-04 09:36:30
2024-04-04 07:06:30,,,21.0,5.0,4,5,,,5,5,,,28,32,32,32,32,0.47,0.0,1231,,,0.0,,,,,23.54,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,70.9,,75,,0.0,2024-04-04 10:06:30
2024-04-04 07:21:30,,,17.0,4.0,4,4,,,4,4,,,27,31,31,31,31,0.47,0.0,1212,,,0.0,,,,,23.54,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,71.1,,75,,0.0,2024-04-04 10:21:30
2024-04-04 07:36:30,,,17.0,4.0,4,4,,,4,4,,,24,27,27,27,27,0.46,0.0,1210,,,0.0,,,,,23.54,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,71.2,,74,,0.0,2024-04-04 10:36:30
2024-04-04 08:06:30,,,17.0,4.0,4,4,,,4,4,,,23,26,27,27,27,0.47,0.0,1121,,,0.0,,,,,23.54,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,70.9,,73,,0.0,2024-04-04 11:06:30
2024-04-04 08:21:30,,,13.0,3.0,3,3,,,3,3,,,22,25,25,25,25,0.46,0.0,1100,,,0.0,,,,,23.54,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,70.7,,73,,0.0,2024-04-04 11:21:30
2024-04-04 08:36:30,,,13.0,3.0,3,3,,,3,3,,,21,24,24,24,24,0.47,0.0,1089,,,0.0,,,,,23.53,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,70.3,,74,,0.0,2024-04-04 11:36:30
2024-04-04 09:06:30,,,13.0,3.0,3,3,,,3,3,,,17,20,20,20,20,0.46,0.0,1054,,,0.0,,,,,23.53,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,69.6,,73,,0.0,2024-04-04 12:06:30
2024-04-04 09:21:30,,,13.0,3.0,3,3,,,3,3,,,21,24,24,24,24,0.49,0.0,1016,,,0.0,,,,,23.52,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,69.3,,73,,0.0,2024-04-04 12:21:30
2024-04-04 09:36:30,,,13.0,3.0,3,3,,,3,3,,,19,22,22,22,22,0.49,0.0,1011,,,0.0,,,,,23.51,,0.0,,,,,,,,,,,,,,,,,0.006,,,0.0,69.1,,73,,0.0,2024-04-04 12:36:30
2024-04-04 10:02:06,,,13.0,3.0,3,3,,,3,3,,,20,23,23,23,23,0.48,0.0,1006,,,0.0,,,,,23.5,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,68.7,,74,,0.0,2024-04-04 13:02:06
2024-04-04 10:17:06,,,13.0,3.0,3,3,,,3,3,,,19,22,22,22,22,0.47,0.0,983,,,0.0,,,,,23.5,,0.0,,,,,,,,,,,,,,,,,0.022,,,0.0,68.5,,74,,0.0,2024-04-04 13:17:06
2024-04-04 10:32:06,,,13.0,3.0,3,3,,,3,3,,,18,21,21,21,21,0.48,0.0,985,,,0.0,,,,,23.49,,0.0,,,,,,,,,,,,,,,,,0.187,,,0.0,68.5,,74,,0.0,2024-04-04 13:32:06
2024-04-04 11:02:06,,,147.0,50.0,51,54,,,54,54,,,340,386,387,387,387,0.46,0.0,1200,,,0.0,,,,,23.46,,0.0,,,,,,,,,,,,,,,,,0.293,,,0.0,68.5,,75,,0.0,2024-04-04 14:02:06
2024-04-04 11:17:06,,,161.0,60.0,70,74,,,74,74,,,462,524,525,525,525,0.44,0.0,1953,,,0.0,,,,,23.45,,0.0,,,,,,,,,,,,,,,,,0.978,,,0.0,69.6,,81,,0.0,2024-04-04 14:17:06
2024-04-04 11:32:06,,,155.0,55.0,60,64,,,64,64,,,398,451,452,452,452,0.43,0.0,1739,,,0.0,,,,,23.45,,0.0,,,,,,,,,,,,,,,,,0.879,,,0.0,70.3,,78,,0.0,2024-04-04 14:32:06
