Timestamp,Timestamp (Local),PM 1.0,PM 2.5,Applied PM 2.5 Custom Calibration Setting - Multiplication Factor,PM 4.0,PM 10,Applied PM 10 Custom Calibration Setting - Multiplication Factor,NC 0.5,NC 1.0,NC 2.5,NC 4.0,NC 10,PM Sensor Error Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Error Status,Device Status
UTC,UTC-04:00,ug/m3,ug/m3,,ug/m3,ug/m3,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,,Fahrenheit,Celsius,%,,,
07/22/2024 00:01:41,07/21/2024 20:01:41,15,16,,16,16,,120,142,142,142,142,0,64.2,,79,,0,0
07/22/2024 00:16:41,07/21/2024 20:16:41,15,16,,16,16,,121,142,142,142,142,0,64.2,,78,,0,0
07/22/2024 00:31:41,07/21/2024 20:31:41,15,16,,16,16,,121,143,143,143,143,0,64.0,,79,,0,0
07/22/2024 00:46:41,07/21/2024 20:46:41,16,16,,16,16,,127,150,150,150,150,0,63.9,,79,,0,0
07/22/2024 01:01:41,07/21/2024 21:01:41,20,21,,21,21,,160,188,189,189,189,0,64.0,,79,,0,0
07/22/2024 01:16:41,07/21/2024 21:16:41,19,20,,20,20,,157,184,185,185,185,0,63.9,,79,,0,0
07/22/2024 01:31:41,07/21/2024 21:31:41,18,19,,19,19,,146,172,172,172,172,0,63.9,,79,,0,0
07/22/2024 01:46:41,07/21/2024 21:46:41,18,18,,18,18,,143,168,169,169,169,0,63.9,,80,,0,0
07/22/2024 02:01:41,07/21/2024 22:01:41,18,19,,19,19,,146,171,172,172,172,0,64.0,,80,,0,0
07/22/2024 02:16:41,07/21/2024 22:16:41,18,19,,19,19,,150,176,177,177,177,0,64.0,,79,,0,0
07/22/2024 02:31:41,07/21/2024 22:31:41,19,20,,20,20,,152,179,180,180,180,0,63.9,,80,,0,0
07/22/2024 02:46:41,07/21/2024 22:46:41,18,19,,19,19,,147,173,174,174,174,0,63.9,,80,,0,0
07/22/2024 03:01:41,07/21/2024 23:01:41,19,20,,20,20,,153,180,181,181,181,0,63.9,,79,,0,0
07/22/2024 03:16:41,07/21/2024 23:16:41,21,22,,22,22,,171,202,202,202,202,0,63.7,,80,,0,0
07/22/2024 03:31:41,07/21/2024 23:31:41,22,23,,23,23,,177,208,209,209,209,0,63.7,,80,,0,0
07/22/2024 03:46:41,07/21/2024 23:46:41,21,22,,22,22,,169,199,200,200,200,0,64.0,,79,,0,0
07/22/2024 04:01:41,07/22/2024 00:01:41,19,20,,20,20,,158,186,186,186,186,0,64.2,,79,,0,0
07/22/2024 04:16:41,07/22/2024 00:16:41,22,23,,23,23,,176,207,208,208,208,0,64.6,,79,,0,0
07/22/2024 04:31:41,07/22/2024 00:31:41,24,25,,25,25,,194,229,229,229,229,0,64.8,,78,,0,0
07/22/2024 04:46:41,07/22/2024 00:46:41,24,25,,25,25,,195,229,230,230,230,0,65.1,,78,,0,0
07/22/2024 05:01:41,07/22/2024 01:01:41,23,24,,24,24,,182,214,215,215,215,0,65.8,,78,,0,0
07/22/2024 05:16:41,07/22/2024 01:16:41,24,25,,26,26,,194,228,229,229,229,0,67.1,,76,,0,0
07/22/2024 05:31:41,07/22/2024 01:31:41,24,25,,25,25,,191,225,225,225,225,0,68.0,,75,,0,0
