Sensor,Timestamp,Timestamp (Local),PM 1.0,PM 2.5,Applied PM 2.5 Custom Calibration Setting - Multiplication Factor,Applied PM 2.5 Custom Calibration Setting - Offset,PM 4.0,PM 10,Applied PM 10 Custom Calibration Setting - Multiplication Factor,Applied PM 10 Custom Calibration Setting - Offset,NC 0.5,NC 1.0,NC 2.5,NC 4.0,NC 10,PM Sensor Error Status,CO2,Applied CO2 Custom Calibration Setting - Multiplication Factor,Applied CO2 Custom Calibration Setting - Offset,CO2 Sensor Error Status,CH2O,Applied CH2O Custom Calibration Setting - Multiplication Factor,Applied CH2O Custom Calibration Setting - Offset,CH2O Sensor Error Status,Barometric Pressure,Applied Barometric Pressure Custom Calibration Setting - Offset,Barometric Sensor Error Status,CO,Applied CO Custom Calibration Setting - Multiplication Factor,Applied CO Custom Calibration Setting - Offset,CO Sensor Error Status,SO2,Applied SO2 Custom Calibration Setting - Multiplication Factor,Applied SO2 Custom Calibration Setting - Offset,SO2 Sensor Error Status,O3,Applied O3 Custom Calibration Setting - Multiplication Factor,Applied O3 Custom Calibration Setting - Offset,O3 Sensor Error Status,NO2,Applied NO2 Custom Calibration Setting - Multiplication Factor,Applied NO2 Custom Calibration Setting - Offset,NO2 Sensor Error Status,VOC tVOC measurement,Applied TVOC Custom Calibration Setting - Multiplication Factor,Applied TVOC Custom Calibration Setting - Offset,VOC Ethanol,VOC Sensor Error Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Error Status,Device Status,Typical Particle Size
,UTC,UTC-05:00,ug/m3,ug/m3,,,ug/m3,ug/m3,,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,,ppm,,,,ppb,,,,inHg,,,ppm,,,,ppb,,,,ppb,,,,ppb,,,,mg/m3,,,ppb,,Celsius,Celsius,%,,,,
A22,2024-05-26 00:03:57,,2.0,2.0,,,2.0,2.0,,,15.0,16.0,16.0,17.0,17.0,,614.0,,,,,,,,29.51,,,0.2,,,,0.0,,,,0.0,,,,0.0,,,,0.321,,,,,24.3,,51.0,,,,
A22,2024-05-26 00:18:57,,1.0,2.0,,,2.0,2.0,,,14.0,16.0,16.0,16.0,16.0,,633.0,,,,,,,,29.51,,,0.3,,,,0.0,,,,0.0,,,,0.0,,,,0.451,,,,,24.3,,52.0,,,,
A22,2024-05-26 00:33:57,,8.0,8.0,,,8.0,8.0,,,71.0,80.0,80.0,80.0,80.0,,643.0,,,,,,,,29.5,,,0.3,,,,0.0,,,,0.0,,,,0.0,,,,0.586,,,,,24.3,,52.0,,,,
A22,2024-05-26 00:48:57,,169.0,179.0,,,179.0,179.0,,,1599.0,1790.0,1794.0,1794.0,1795.0,,670.0,,,,,,,,29.5,,,0.3,,,,0.0,,,,0.0,,,,0.0,,,,0.803,,,,,24.3,,52.0,,,,
A22,2024-05-26 01:03:57,,196.0,208.0,,,208.0,208.0,,,1858.0,2080.0,2084.0,2085.0,2085.0,,694.0,,,,,,,,29.5,,,0.4,,,,0.0,,,,0.0,,,,0.0,,,,0.885,,,,,24.3,,52.0,,,,
A22,2024-05-26 01:18:57,,186.0,197.0,,,198.0,198.0,,,1761.0,1973.0,1977.0,1978.0,1978.0,,704.0,,,,,,,,29.51,,,0.4,,,,0.0,,,,0.0,,,,0.0,,,,0.884,,,,,24.3,,53.0,,,,
A22,2024-05-26 01:33:57,,140.0,148.0,,,148.0,148.0,,,1321.0,1480.0,1483.0,1483.0,1484.0,,717.0,,,,,,,,29.51,,,0.4,,,,0.0,,,,0.0,,,,0.0,,,,0.885,,,,,24.2,,53.0,,,,
A22,2024-05-26 01:48:57,,102.0,108.0,,,108.0,108.0,,,963.0,1079.0,1081.0,1081.0,1082.0,,778.0,,,,,,,,29.51,,,0.4,,,,0.0,,,,0.0,,,,0.0,,,,0.877,,,,,24.2,,53.0,,,,
A22,2024-05-26 02:03:57,,73.0,77.0,,,77.0,77.0,,,691.0,773.0,775.0,775.0,775.0,,853.0,,,,,,,,29.52,,,0.4,,,,0.0,,,,0.0,,,,0.0,,,,0.885,,,,,24.1,,54.0,,,,
