Sensor,Timestamp,Timestamp (Local),PM 1.0,PM 2.5,Applied PM 2.5 Custom Calibration Setting - Multiplication Factor,Applied PM 2.5 Custom Calibration Setting - Offset,PM 4.0,PM 10,Applied PM 10 Custom Calibration Setting - Multiplication Factor,Applied PM 10 Custom Calibration Setting - Offset,NC 0.5,NC 1.0,NC 2.5,NC 4.0,NC 10,PM Sensor Error Status,CO2,Applied CO2 Custom Calibration Setting - Multiplication Factor,Applied CO2 Custom Calibration Setting - Offset,CO2 Sensor Error Status,CH2O,Applied CH2O Custom Calibration Setting - Multiplication Factor,Applied CH2O Custom Calibration Setting - Offset,CH2O Sensor Error Status,Barometric Pressure,Applied Barometric Pressure Custom Calibration Setting - Offset,Barometric Sensor Error Status,CO,Applied CO Custom Calibration Setting - Multiplication Factor,Applied CO Custom Calibration Setting - Offset,CO Sensor Error Status,SO2,Applied SO2 Custom Calibration Setting - Multiplication Factor,Applied SO2 Custom Calibration Setting - Offset,SO2 Sensor Error Status,O3,Applied O3 Custom Calibration Setting - Multiplication Factor,Applied O3 Custom Calibration Setting - Offset,O3 Sensor Error Status,NO2,Applied NO2 Custom Calibration Setting - Multiplication Factor,Applied NO2 Custom Calibration Setting - Offset,NO2 Sensor Error Status,VOC tVOC measurement,Applied TVOC Custom Calibration Setting - Multiplication Factor,Applied TVOC Custom Calibration Setting - Offset,VOC Ethanol,VOC Sensor Error Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Error Status,Device Status,Typical Particle Size
,UTC,UTC-05:00,ug/m3,ug/m3,,,ug/m3,ug/m3,,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,,ppm,,,,ppb,,,,inHg,,,ppm,,,,ppb,,,,ppb,,,,ppb,,,,mg/m3,,,ppb,,Celsius,Celsius,%,,,,
A24,2024-05-26 00:05:23,,1.0,1.0,,,1.0,1.0,,,10.0,11.0,11.0,11.0,11.0,,397.0,,,,,,,,29.73,,,0.3,,,,0.0,,,,0.0,,,,0.0,,,,0.019,,,,,23.1,,50.0,,,,
A24,2024-05-26 00:20:23,,1.0,1.0,,,1.0,1.0,,,11.0,12.0,12.0,12.0,12.0,,397.0,,,,,,,,29.73,,,0.3,,,,0.0,,,,0.0,,,,0.0,,,,0.023,,,,,23.1,,50.0,,,,
A24,2024-05-26 00:35:23,,1.0,1.0,,,1.0,1.0,,,10.0,12.0,12.0,12.0,12.0,,396.0,,,,,,,,29.73,,,0.3,,,,0.0,,,,0.0,,,,0.0,,,,0.025,,,,,23.1,,50.0,,,,
A24,2024-05-26 00:50:23,,1.0,1.0,,,1.0,1.0,,,10.0,11.0,11.0,11.0,11.0,,399.0,,,,,,,,29.73,,,0.3,,,,0.0,,,,0.0,,,,0.0,,,,0.028,,,,,23.1,,50.0,,,,
A24,2024-05-26 01:05:23,,1.0,1.0,,,1.0,1.0,,,10.0,11.0,11.0,11.0,11.0,,399.0,,,,,,,,29.73,,,0.3,,,,0.0,,,,0.0,,,,0.0,,,,0.035,,,,,23.1,,50.0,,,,
A24,2024-05-26 01:20:23,,1.0,1.0,,,1.0,1.0,,,9.0,11.0,11.0,11.0,11.0,,397.0,,,,,,,,29.73,,,0.3,,,,0.0,,,,0.0,,,,0.0,,,,0.044,,,,,23.1,,50.0,,,,
A24,2024-05-26 01:35:23,,1.0,1.0,,,1.0,1.0,,,9.0,11.0,11.0,11.0,11.0,,400.0,,,,,,,,29.73,,,0.3,,,,0.0,,,,0.0,,,,0.0,,,,0.048,,,,,23.1,,50.0,,,,
A24,2024-05-26 01:50:23,,1.0,1.0,,,1.0,1.0,,,9.0,10.0,10.0,10.0,10.0,,398.0,,,,,,,,29.74,,,0.3,,,,0.0,,,,0.0,,,,0.0,,,,0.057,,,,,23.1,,50.0,,,,
A24,2024-05-26 02:05:23,,1.0,1.0,,,1.0,1.0,,,9.0,11.0,11.0,11.0,11.0,,402.0,,,,,,,,29.74,,,0.3,,,,0.0,,,,0.0,,,,0.0,,,,0.072,,,,,23.1,,50.0,,,,
A24,2024-05-26 02:20:23,,1.0,1.0,,,1.0,1.0,,,9.0,10.0,10.0,10.0,10.0,,399.0,,,,,,,,29.75,,,0.3,,,,0.0,,,,0.0,,,,0.0,,,,0.077,,,,,23.1,,50.0,,,,
A24,2024-05-26 02:35:23,,1.0,1.0,,,1.0,1.0,,,9.0,10.0,10.0,10.0,10.0,,399.0,,,,,,,,29.75,,,0.3,,,,0.0,,,,0.0,,,,0.0,,,,0.081,,,,,23.0,,50.0,,,,
A24,2024-05-26 02:50:23,,1.0,1.0,,,1.0,1.0,,,9.0,10.0,10.0,10.0,11.0,,401.0,,,,,,,,29.76,,,0.3,,,,0.0,,,,0.0,,,,0.0,,,,0.082,,,,,23.0,,50.0,,,,
A24,2024-05-26 03:05:23,,1.0,1.0,,,1.0,1.0,,,9.0,10.0,10.0,10.0,10.0,,395.0,,,,,,,,29.76,,,0.3,,,,0.0,,,,0.0,,,,0.0,,,,0.097,,,,,23.0,,50.0,,,,
A24,2024-05-26 03:20:23,,1.0,1.0,,,1.0,1.0,,,9.0,10.0,10.0,10.0,10.0,,403.0,,,,,,,,29.76,,,0.3,,,,0.0,,,,0.0,,,,0.0,,,,0.112,,,,,23.0,,50.0,,,,
A24,2024-05-26 03:35:23,,1.0,1.0,,,1.0,1.0,,,9.0,10.0,10.0,10.0,10.0,,409.0,,,,,,,,29.76,,,0.3,,,,0.0,,,,0.0,,,,0.0,,,,0.119,,,,,23.0,,51.0,,,,
A24,2024-05-26 03:50:23,,1.0,1.0,,,1.0,1.0,,,8.0,9.0,9.0,9.0,9.0,,406.0,,,,,,,,29.77,,,0.3,,,,0.0,,,,0.0,,,,0.0,,,,0.127,,,,,22.9,,51.0,,,,
