Sensor,Timestamp,Timestamp (Local),PM 1.0,PM 2.5,Applied PM 2.5 Custom Calibration Setting - Multiplication Factor,Applied PM 2.5 Custom Calibration Setting - Offset,PM 4.0,PM 10,Applied PM 10 Custom Calibration Setting - Multiplication Factor,Applied PM 10 Custom Calibration Setting - Offset,NC 0.5,NC 1.0,NC 2.5,NC 4.0,NC 10,PM Sensor Error Status,CO2,Applied CO2 Custom Calibration Setting - Multiplication Factor,Applied CO2 Custom Calibration Setting - Offset,CO2 Sensor Error Status,CH2O,Applied CH2O Custom Calibration Setting - Multiplication Factor,Applied CH2O Custom Calibration Setting - Offset,CH2O Sensor Error Status,Barometric Pressure,Applied Barometric Pressure Custom Calibration Setting - Offset,Barometric Sensor Error Status,CO,Applied CO Custom Calibration Setting - Multiplication Factor,Applied CO Custom Calibration Setting - Offset,CO Sensor Error Status,SO2,Applied SO2 Custom Calibration Setting - Multiplication Factor,Applied SO2 Custom Calibration Setting - Offset,SO2 Sensor Error Status,O3,Applied O3 Custom Calibration Setting - Multiplication Factor,Applied O3 Custom Calibration Setting - Offset,O3 Sensor Error Status,NO2,Applied NO2 Custom Calibration Setting - Multiplication Factor,Applied NO2 Custom Calibration Setting - Offset,NO2 Sensor Error Status,VOC tVOC measurement,Applied TVOC Custom Calibration Setting - Multiplication Factor,Applied TVOC Custom Calibration Setting - Offset,VOC Ethanol,VOC Sensor Error Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Error Status,Device Status,Typical Particle Size
,UTC,UTC-05:00,ug/m3,ug/m3,,,ug/m3,ug/m3,,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,,ppm,,,,ppb,,,,inHg,,,ppm,,,,ppb,,,,ppb,,,,ppb,,,,mg/m3,,,ppb,,Celsius,Celsius,%,,,,
A21,2024-06-05 21:04:09,,13.0,14.0,,,14.0,14.0,,,125.0,140.0,141.0,141.0,141.0,,484.0,,,,,,,,29.43,,,0.0,,,,6.0,,,,0.0,,,,0.0,,,,0.0,,,,,28.1,,49.0,,,,
A21,2024-06-05 21:19:09,,11.0,12.0,,,12.0,12.0,,,113.0,126.0,127.0,127.0,127.0,,440.0,,,,,,,,29.42,,,0.0,,,,0.0,,,,0.0,,,,92.0,,,,0.0,,,,,25.1,,57.0,,,,
A21,2024-06-05 21:34:09,,11.0,12.0,,,12.0,12.0,,,110.0,124.0,124.0,124.0,124.0,,435.0,,,,,,,,29.42,,,0.0,,,,0.0,,,,0.0,,,,63.0,,,,0.0,,,,,24.6,,59.0,,,,
A21,2024-06-05 21:49:09,,11.0,12.0,,,12.0,12.0,,,110.0,124.0,124.0,124.0,124.0,,454.0,,,,,,,,29.42,,,0.0,,,,0.0,,,,6.0,,,,19.0,,,,0.001,,,,,24.8,,59.0,,,,
A21,2024-06-05 22:04:09,,11.0,11.0,,,11.0,11.0,,,104.0,116.0,116.0,117.0,117.0,,458.0,,,,,,,,29.41,,,0.0,,,,0.0,,,,17.0,,,,0.0,,,,0.003,,,,,25.0,,58.0,,,,
A21,2024-06-05 22:19:09,,10.0,11.0,,,11.0,11.0,,,102.0,114.0,114.0,114.0,114.0,,457.0,,,,,,,,29.41,,,0.0,,,,0.0,,,,13.0,,,,0.0,,,,0.008,,,,,25.2,,58.0,,,,
A21,2024-06-05 22:34:09,,10.0,10.0,,,10.0,10.0,,,95.0,106.0,106.0,106.0,106.0,,455.0,,,,,,,,29.41,,,0.0,,,,0.0,,,,11.0,,,,0.0,,,,0.003,,,,,25.4,,57.0,,,,
A21,2024-06-05 22:49:09,,9.0,9.0,,,9.0,9.0,,,83.0,94.0,94.0,94.0,94.0,,446.0,,,,,,,,29.41,,,0.0,,,,0.0,,,,10.0,,,,0.0,,,,0.008,,,,,25.6,,56.0,,,,
A21,2024-06-05 23:04:09,,8.0,8.0,,,8.0,8.0,,,74.0,83.0,83.0,83.0,83.0,,440.0,,,,,,,,29.41,,,0.0,,,,0.0,,,,9.0,,,,0.0,,,,0.009,,,,,25.8,,56.0,,,,
A21,2024-06-05 23:19:09,,7.0,7.0,,,7.0,7.0,,,69.0,77.0,77.0,78.0,78.0,,428.0,,,,,,,,29.41,,,0.0,,,,0.0,,,,7.0,,,,0.0,,,,0.012,,,,,26.0,,55.0,,,,
A21,2024-06-05 23:34:09,,7.0,7.0,,,7.0,7.0,,,64.0,72.0,72.0,72.0,72.0,,419.0,,,,,,,,29.41,,,0.0,,,,0.0,,,,7.0,,,,0.0,,,,0.009,,,,,26.1,,55.0,,,,
A21,2024-06-05 23:49:09,,6.0,6.0,,,6.0,6.0,,,60.0,67.0,67.0,67.0,67.0,,416.0,,,,,,,,29.41,,,0.0,,,,0.0,,,,8.0,,,,0.0,,,,0.02,,,,,26.3,,55.0,,,,
A21,2024-06-06 00:04:09,,6.0,6.0,,,6.0,6.0,,,58.0,65.0,65.0,66.0,66.0,,434.0,,,,,,,,29.41,,,0.0,,,,0.0,,,,7.0,,,,0.0,,,,0.025,,,,,26.4,,54.0,,,,
A21,2024-06-06 00:19:09,,6.0,6.0,,,6.0,6.0,,,56.0,62.0,62.0,62.0,62.0,,434.0,,,,,,,,29.41,,,0.0,,,,0.0,,,,6.0,,,,0.0,,,,0.034,,,,,26.5,,54.0,,,,
A21,2024-06-06 00:34:09,,5.0,6.0,,,6.0,6.0,,,53.0,59.0,59.0,59.0,59.0,,421.0,,,,,,,,29.4,,,0.0,,,,0.0,,,,5.0,,,,0.0,,,,0.025,,,,,26.6,,54.0,,,,
A21,2024-06-06 00:49:09,,5.0,5.0,,,5.0,5.0,,,49.0,55.0,55.0,55.0,55.0,,417.0,,,,,,,,29.41,,,0.0,,,,0.0,,,,4.0,,,,0.0,,,,0.022,,,,,26.7,,54.0,,,,
A21,2024-06-06 01:04:09,,5.0,5.0,,,5.0,5.0,,,50.0,56.0,56.0,56.0,57.0,,428.0,,,,,,,,29.41,,,0.0,,,,0.0,,,,4.0,,,,0.0,,,,0.053,,,,,26.8,,54.0,,,,
A21,2024-06-06 01:19:09,,5.0,5.0,,,5.0,5.0,,,50.0,56.0,56.0,56.0,56.0,,440.0,,,,,,,,29.41,,,0.0,,,,0.0,,,,3.0,,,,0.0,,,,0.059,,,,,26.8,,54.0,,,,
A21,2024-06-06 01:34:09,,5.0,5.0,,,5.0,5.0,,,49.0,55.0,55.0,55.0,55.0,,435.0,,,,,,,,29.41,,,0.0,,,,0.0,,,,3.0,,,,0.0,,,,0.048,,,,,26.8,,54.0,,,,
A21,2024-06-06 01:49:09,,5.0,5.0,,,5.0,5.0,,,48.0,53.0,54.0,54.0,54.0,,430.0,,,,,,,,29.42,,,0.0,,,,0.0,,,,3.0,,,,0.0,,,,0.05,,,,,26.8,,54.0,,,,
A21,2024-06-06 02:04:09,,5.0,5.0,,,5.0,5.0,,,47.0,53.0,53.0,53.0,53.0,,436.0,,,,,,,,29.42,,,0.0,,,,0.0,,,,3.0,,,,0.0,,,,0.049,,,,,26.8,,54.0,,,,
A21,2024-06-06 02:19:09,,5.0,5.0,,,5.0,5.0,,,49.0,55.0,55.0,55.0,55.0,,439.0,,,,,,,,29.42,,,0.0,,,,0.0,,,,3.0,,,,0.0,,,,0.047,,,,,26.7,,54.0,,,,
A21,2024-06-06 02:34:09,,5.0,5.0,,,5.0,5.0,,,48.0,54.0,54.0,54.0,54.0,,450.0,,,,,,,,29.42,,,0.0,,,,0.0,,,,3.0,,,,0.0,,,,0.034,,,,,26.7,,54.0,,,,
A21,2024-06-06 02:49:09,,5.0,5.0,,,5.0,5.0,,,47.0,52.0,52.0,52.0,52.0,,450.0,,,,,,,,29.42,,,0.0,,,,0.0,,,,3.0,,,,0.0,,,,0.027,,,,,26.6,,54.0,,,,
A21,2024-06-06 03:04:09,,5.0,5.0,,,5.0,5.0,,,46.0,51.0,51.0,51.0,51.0,,477.0,,,,,,,,29.43,,,0.0,,,,0.0,,,,4.0,,,,0.0,,,,0.064,,,,,26.5,,54.0,,,,
A21,2024-06-06 03:19:09,,5.0,5.0,,,5.0,5.0,,,44.0,50.0,50.0,50.0,50.0,,516.0,,,,,,,,29.43,,,0.0,,,,0.0,,,,3.0,,,,0.0,,,,0.078,,,,,26.5,,54.0,,,,
A21,2024-06-06 03:34:09,,5.0,5.0,,,5.0,5.0,,,44.0,49.0,49.0,49.0,49.0,,524.0,,,,,,,,29.43,,,0.0,,,,0.0,,,,3.0,,,,0.0,,,,0.078,,,,,26.5,,54.0,,,,
A21,2024-06-06 03:49:09,,4.0,5.0,,,5.0,5.0,,,43.0,48.0,48.0,48.0,48.0,,524.0,,,,,,,,29.44,,,0.0,,,,0.0,,,,2.0,,,,0.0,,,,0.082,,,,,26.4,,55.0,,,,
