Sensor,Coefficient,Intercept
sensor01,0.969444039967639,1.905022168921839
sensor02,0.9665993317232481,2.307921542057649
sensor03,1.0178234114299067,-2.0637926745103883
sensor04,0.9586765532811716,2.4644256305009264
sensor05,0.9802671913815075,2.0114815290939134
sensor06,0.9711997120110988,1.5482056374883086
sensor07,0.9994401045599558,-1.06800177967299
sensor08,0.9874733150117949,1.4367150726671127
sensor09,1.026145274645467,-0.32717729878719837
sensor10,0.9849460969893101,1.3438635893894855
sensor11,1.0144291714849116,-1.6304404817877725
sensor12,1.0365152587517557,-5.527538792238438
sensor13,1.0092382537202562,-0.20868275771269396
sensor14,1.0316973486740524,-1.3663509680483443
sensor15,0.993211480593005,-0.2788148820500709
