Sensor,Coefficient,Intercept
sensor01,0.9082839253340083,0.008089076799251
sensor02,0.9621693757911667,0.005708739348149222
sensor03,0.9538778097249736,0.05153549052867709
sensor04,0.7943426866840202,0.027624061291430607
sensor05,1.0043625431381702,-0.006230881702974894
sensor06,0.9252754908072448,0.03438765629631496
sensor07,0.7149565177504388,0.051516529143829176
sensor08,0.8623037876177747,-0.01392490856097664
sensor09,0.9947090680775278,0.005496402868926442
sensor10,0.7542603409882959,-0.020859203820892708
sensor11,0.9374551938522466,0.033349011914216214
sensor12,0.9419698754309107,0.038898822287394386
sensor13,0.9524250718889118,0.014126668952873955
sensor14,1.0378898454949042,0.02627141869022348
sensor15,0.7793205103536949,0.017227738063057607
