Sensor,Coefficient,Intercept
sensor01,0.9653950492082032,2.461005745042783
sensor02,0.9452299243444847,3.9917238255329863
sensor03,1.0240801974907763,-1.6077878123989677
sensor04,0.9283398864535597,5.307591834755343
sensor05,0.9117304494260725,6.147229771818203
sensor06,0.9648302281405503,2.646124718471185
sensor07,1.0192295442101886,-1.4242166353796222
sensor08,0.9329658936207468,4.721145608996821
sensor09,1.0034800887373452,-0.3989894966410077
sensor10,0.9979517560098715,0.140372798322133
sensor11,1.043613182686902,-3.3766732119056257
sensor12,0.9133951533965149,6.168420405984094
sensor13,1.0399091204320337,-2.825403943245931
sensor14,0.986584468151829,0.8567560775774865
sensor15,1.0139871634537014,-0.9136028421556688
